strategy,condition,label,category,n,baseline_recall,masked_recall,recall_drop,ci_low,ci_high,true_probability_drop
lora,N10,6,Chloroplast,152,0.9210526315789473,0.8421052631578947,0.07894736842105263,0.02631578947368421,0.13815789473684212,0.09540493347299774
lora,N10,7,Golgi apparatus,70,0.34285714285714286,0.3142857142857143,0.02857142857142857,-0.05714285714285714,0.11428571428571428,0.05246720924022962
lora,N10,8,Lysosome/Vacuole,64,0.046875,0.078125,-0.03125,-0.09375,0.03125,-0.02168540393808973
lora,N10,9,Peroxisome,30,0.1,0.06666666666666667,0.03333333333333333,0.0,0.1,-0.02497356851813598
lora,C10,0,Nucleus,808,0.8613861386138614,0.8898514851485149,-0.028465346534653466,-0.043316831683168314,-0.012345297029702999,-0.023584200625698472
lora,C10,1,Cytoplasm,508,0.6850393700787402,0.5669291338582677,0.11811023622047244,0.08661417322834646,0.14960629921259844,0.1457549974511045
lora,C10,2,Extracellular,393,0.910941475826972,0.8422391857506362,0.06870229007633588,0.04071246819338423,0.09669211195928754,0.12580543161562494
lora,C10,3,Mitochondrion,302,0.8377483443708609,0.8178807947019867,0.019867549668874173,-0.006622516556291391,0.046357615894039736,0.04057571623786035
lora,C10,4,Cell membrane,273,0.7655677655677655,0.7472527472527473,0.018315018315018316,-0.018315018315018316,0.054945054945054944,0.05277166696601754
lora,C10,5,Endoplasmic reticulum,173,0.6011560693641619,0.6589595375722543,-0.057803468208092484,-0.09841040462427746,-0.017341040462427744,-0.0632582580585119
lora,C10,6,Chloroplast,152,0.9210526315789473,0.8157894736842105,0.10526315789473684,0.05921052631578947,0.15789473684210525,0.06921632114438095
lora,C10,7,Golgi apparatus,70,0.34285714285714286,0.3142857142857143,0.02857142857142857,-0.02857142857142857,0.1,0.06161757954862368
lora,C10,8,Lysosome/Vacuole,64,0.046875,0.09375,-0.046875,-0.109375,0.015625,-0.02771638153819129
lora,C10,9,Peroxisome,30,0.1,0.06666666666666667,0.03333333333333333,0.0,0.1,0.029966277759601232
lora,internal10,0,Nucleus,808,0.8613861386138614,0.8836633663366337,-0.022277227722772276,-0.03589108910891089,-0.009870049504950523,-0.01640948309580812
lora,internal10,1,Cytoplasm,508,0.6850393700787402,0.5964566929133859,0.08858267716535433,0.05511811023622047,0.12012795275590546,0.1112340099644358
lora,internal10,2,Extracellular,393,0.910941475826972,0.8880407124681934,0.022900763358778626,0.005089058524173028,0.043256997455470736,0.04844873855525226
lora,internal10,3,Mitochondrion,302,0.8377483443708609,0.8112582781456954,0.026490066225165563,0.0033112582781456954,0.052980132450331126,0.03597028203461943
lora,internal10,4,Cell membrane,273,0.7655677655677655,0.7838827838827839,-0.018315018315018316,-0.05128205128205128,0.014652014652014652,0.0071156323118424245
lora,internal10,5,Endoplasmic reticulum,173,0.6011560693641619,0.6358381502890174,-0.03468208092485549,-0.07514450867052024,0.005780346820809248,-0.027694139954607965
lora,internal10,6,Chloroplast,152,0.9210526315789473,0.8552631578947368,0.06578947368421052,0.03273026315789474,0.10526315789473684,0.03834536746808489
lora,internal10,7,Golgi apparatus,70,0.34285714285714286,0.3142857142857143,0.02857142857142857,-0.04285714285714286,0.1,0.03261161623883599
lora,internal10,8,Lysosome/Vacuole,64,0.046875,0.09375,-0.046875,-0.109375,0.0,-0.029703284129750623
lora,internal10,9,Peroxisome,30,0.1,0.06666666666666667,0.03333333333333333,0.0,0.1,0.012167197834418475
full,N10,0,Nucleus,808,0.8712871287128713,0.8626237623762376,0.008663366336633664,-0.0037128712871287127,0.022277227722772276,0.009915959421241767
